,CryoSleep,VIP,Transported,Children,HomePlanetCode,DestinationCode,VIP*Europa,VIP*Earth,FareBand,DeckCode
0,False,False,False,0,0,0,0,0,0,1
1,False,False,True,0,1,0,0,0,1,5
2,False,True,False,0,0,0,1,0,2,0
3,False,False,False,0,0,0,0,0,2,0
4,False,False,True,0,1,0,0,0,1,5
5,False,False,True,0,1,0,0,0,1,5
6,False,False,True,0,1,0,0,0,1,5
7,True,False,True,0,1,0,0,0,0,6
8,False,False,True,0,1,0,0,0,1,5
9,True,False,True,0,0,1,0,0,0,1
10,True,False,True,0,0,0,0,0,0,1
11,False,False,True,0,0,1,0,0,2,1
12,False,False,True,0,2,0,0,0,1,5
13,False,False,False,0,1,0,0,0,1,6
14,False,False,True,0,1,0,0,0,1,5
15,False,False,False,0,1,0,0,0,1,5
16,False,False,False,0,2,1,0,0,1,5
17,False,False,False,0,1,1,0,0,0,5
18,True,False,True,0,2,0,0,0,0,5
19,False,False,True,1,1,0,0,0,0,6
20,False,False,False,0,1,1,0,0,1,5
21,True,False,False,1,1,0,0,0,0,4
22,True,False,False,0,1,1,0,0,0,4
23,True,False,False,0,1,1,0,0,0,4
24,False,False,True,0,1,0,0,0,0,4
25,True,False,False,1,1,0,0,0,0,4
26,False,False,False,0,1,0,0,0,0,4
27,False,False,False,0,2,0,0,0,1,3
28,True,False,True,0,0,0,0,0,0,2
29,False,False,False,0,1,0,0,0,1,5
30,False,False,False,0,0,1,0,0,2,2
31,False,False,False,0,2,0,0,0,1,5
32,False,False,False,0,1,0,0,0,1,6
33,False,False,True,0,2,0,0,0,1,5
34,False,False,True,1,2,0,0,0,0,5
35,False,False,True,0,2,0,0,0,1,5
36,True,False,True,0,0,1,0,0,0,3
37,False,False,False,0,2,1,0,0,1,3
38,False,False,False,0,1,1,0,0,1,5
39,False,False,False,0,1,1,0,0,1,5
40,True,False,False,0,1,1,0,0,0,6
41,True,False,True,0,1,0,0,0,0,6
42,False,False,False,0,0,0,0,0,1,1
43,True,False,False,0,1,0,0,0,0,6
44,True,False,True,1,1,1,0,0,0,6
45,True,False,True,0,1,0,0,0,0,6
46,False,False,False,0,2,0,0,0,1,5
47,True,False,True,0,2,0,0,0,0,5
48,False,False,False,0,1,1,0,0,1,4
49,False,False,False,0,1,0,0,0,1,4
50,False,False,False,0,1,0,0,0,2,6
51,False,False,True,0,1,0,0,0,1,5
52,False,False,True,1,0,0,0,0,0,0
53,True,False,True,0,0,0,0,0,0,0
54,False,False,True,0,0,0,0,0,2,0
55,True,False,False,0,1,0,0,0,0,6
56,False,False,False,0,1,0,0,0,1,5
57,False,False,False,0,1,0,0,0,0,5
58,True,False,True,0,2,0,0,0,0,5
59,True,False,True,0,1,0,0,0,0,4
60,False,False,False,0,1,0,0,0,1,6
61,True,False,True,1,1,0,0,0,0,6
62,False,False,True,0,1,0,0,0,0,6
63,False,False,False,0,1,1,0,0,1,5
64,False,False,False,0,2,0,0,0,1,4
65,False,False,True,0,1,0,0,0,1,5
66,False,False,False,0,1,0,0,0,1,5
67,False,False,False,0,1,0,0,0,1,5
68,False,False,False,0,1,0,0,0,1,5
69,False,False,False,0,2,0,0,0,1,3
70,False,False,True,0,0,0,0,0,2,2
71,False,False,True,0,2,0,0,0,1,5
72,False,False,True,0,2,0,0,0,1,5
73,False,False,False,0,0,0,0,0,2,2
74,True,False,False,0,1,0,0,0,0,6
75,False,False,False,0,2,0,0,0,2,5
76,True,False,True,1,2,0,0,0,0,5
77,False,False,True,0,2,0,0,0,0,5
78,False,False,True,0,1,0,0,0,0,6
79,True,False,True,0,0,0,0,0,0,2
80,False,False,False,0,1,0,0,0,1,5
81,True,False,True,0,2,0,0,0,0,4
82,True,False,True,0,1,0,0,0,0,6
83,True,False,True,0,1,0,0,0,0,6
84,False,False,False,0,1,0,0,0,1,5
85,False,False,False,0,1,0,0,0,0,6
86,True,False,True,1,1,0,0,0,0,6
87,True,False,True,1,1,0,0,0,0,6
88,False,False,False,0,0,0,0,0,1,0
89,False,False,False,0,1,0,0,0,1,6
90,False,False,True,0,1,0,0,0,2,6
91,False,False,False,0,1,0,0,0,1,5
92,False,False,True,1,1,0,0,0,0,6
93,True,False,True,0,2,0,0,0,0,5
94,False,False,False,0,1,0,0,0,1,5
95,False,False,True,0,1,0,0,0,0,5
96,True,False,True,0,1,1,0,0,0,6
97,True,False,False,0,1,0,0,0,0,6
98,False,False,False,0,1,0,0,0,0,5
99,False,False,False,0,2,0,0,0,1,3
100,True,False,False,0,1,0,0,0,0,6
101,False,False,False,0,1,0,0,0,1,6
102,False,False,True,1,1,0,0,0,0,6
103,False,False,False,0,0,0,0,0,2,5
104,False,False,False,0,0,0,0,0,1,1
105,False,False,True,0,0,0,0,0,2,1
106,True,False,True,0,0,0,0,0,0,1
107,True,False,True,0,0,0,0,0,0,4
108,False,True,True,0,0,1,1,0,1,1
109,False,False,True,0,1,0,0,0,1,5
110,False,False,False,0,1,0,0,0,1,6
111,False,False,True,0,2,0,0,0,0,5
112,False,False,True,0,0,0,0,0,1,3
113,False,False,False,0,1,0,0,0,2,0
114,True,False,True,0,0,0,0,0,0,0
115,True,False,True,0,2,0,0,0,0,5
116,False,False,False,0,1,0,0,0,1,6
117,False,False,False,0,1,0,0,0,0,5
118,True,False,True,0,2,0,0,0,0,5
119,False,False,False,0,2,0,0,0,1,4
120,False,True,False,0,2,0,0,0,1,3
121,False,False,False,0,2,0,0,0,1,4
122,True,False,True,0,1,0,0,0,0,6
123,True,False,True,0,2,0,0,0,0,5
124,False,False,False,0,2,0,0,0,1,3
125,False,False,True,0,1,0,0,0,1,6
126,False,False,False,0,1,0,0,0,1,6
127,True,False,True,0,1,0,0,0,0,6
128,False,False,False,0,1,0,0,0,1,4
129,True,False,True,0,0,1,0,0,0,2
130,True,False,True,0,1,0,0,0,0,6
131,False,False,False,0,1,0,0,0,1,5
132,False,False,False,0,2,0,0,0,0,5
133,False,False,True,0,1,0,0,0,0,5
134,False,False,False,0,1,0,0,0,0,6
135,True,False,True,0,1,0,0,0,0,6
136,False,False,False,0,2,0,0,0,1,5
137,True,False,True,0,1,1,0,0,0,6
138,True,False,False,0,1,1,0,0,0,6
139,False,False,False,0,1,0,0,0,0,5
140,False,False,False,0,1,0,0,0,2,6
141,True,False,True,0,0,0,0,0,0,1
142,True,False,True,0,0,0,0,0,0,1
143,False,False,True,0,1,0,0,0,1,6
144,True,False,False,0,1,0,0,0,0,6
145,True,False,True,0,2,0,0,0,0,5
146,True,False,True,0,2,0,0,0,0,5
147,False,False,False,0,2,0,0,0,1,5
148,True,False,False,0,1,0,0,0,0,6
149,False,False,False,0,1,0,0,0,1,4
150,True,False,True,0,1,0,0,0,0,6
151,True,False,True,0,1,0,0,0,0,6
152,False,False,True,0,1,0,0,0,1,4
153,False,False,False,0,1,1,0,0,0,5
154,False,False,False,0,0,0,0,0,2,1
155,False,False,False,0,2,0,0,0,1,3
156,False,False,True,0,1,0,0,0,1,6
157,False,False,False,1,1,0,0,0,0,6
158,False,False,True,1,1,0,0,0,0,6
159,False,False,False,0,1,0,0,0,0,6
160,True,False,True,0,0,0,0,0,0,2
161,False,False,True,0,1,0,0,0,1,5
162,False,False,False,0,1,0,0,0,1,6
